specialite_1,specialite_2,of,pct_multi,stag_mean_tam
Economie,Travail social,4,0.013432735576600175,0.0
"Enseignement, formation",Textile,4,0.013432735576600175,0.0
"Animation culturelle, sportive et de loisirs",Sciences naturelles (Biologie-Géologie),4,0.013432735576600175,200.0
Journalisme et communication,Spécialités concernant plusieurs capacités,4,0.013432735576600175,230.0
"Documentation, bibliothèques, administration des données",Spécialités plurivalentes des échanges et de la gestion,4,0.013432735576600175,33.0
"Habillement (y compris mode, couture)",Technologies industrielles fondamentales,4,0.013432735576600175,0.0
Journalisme et communication,Pratiques sportives,4,0.013432735576600175,0.0
Santé,Technologies industrielles fondamentales,4,0.013432735576600175,0.0
Santé,"Spécialités pluritechnologiques, génie civil, construction, bois",4,0.013432735576600175,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Bâtiment: construction et couverture,4,0.013432735576600175,0.0
"Spécialités pluritechnologiques, génie civil, construction, bois",Spécialités plurivalentes sanitaires et sociales,4,0.013432735576600175,56.0
"Energie, génie climatique","Finances, banque, assurances",4,0.013432735576600175,852.0
"Enseignement, formation",Mécanique aéronautique et spatiale,4,0.013432735576600175,10.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Droit, sciences politiques",4,0.013432735576600175,0.0
"Sciences sociales (y compris démographie, anthropologie)",Spécialités concernant plusieurs capacités,4,0.013432735576600175,175.5
"Chimie-biologie, biochimie","Enseignement, formation",4,0.013432735576600175,0.0
Développement des capacités individuelles d'organisation,"Techniques de l'image et du son, métiers connexes du spectacle",4,0.013432735576600175,0.0
Moteurs et mécanique auto,Technologies industrielles fondamentales,4,0.013432735576600175,0.0
"Informatique, traitement de l'information, réseaux de transmission des données",Travail du bois et de l'ameublement,4,0.013432735576600175,136.0
"Nettoyage, assainissement, protection de l'environnement",Sciences naturelles (Biologie-Géologie),4,0.013432735576600175,200.0
Physique-chimie,Sciences de la vie,4,0.013432735576600175,0.0
Géographie,"Spécialités pluridisciplinaires, sciences humaines et droit",4,0.013432735576600175,0.0
Histoire,"Spécialités pluridisciplinaires, sciences humaines et droit",4,0.013432735576600175,0.0
Développement des capacités comportementales et relationnelles,Sciences de la vie,4,0.013432735576600175,65.0
Développement des capacités mentales et apprentissages de base,Spécialités plurivalentes des services,4,0.013432735576600175,0.0
Spécialités concernant plusieurs capacités,Spécialités pluriscientifiques,4,0.013432735576600175,0.0
Spécialités militaires,"Sécurité des biens et des personnes, police, surveillance",4,0.013432735576600175,255.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Sciences sociales (y compris démographie, anthropologie)",4,0.013432735576600175,54.0
Autres...,Sciences naturelles (Biologie-Géologie),4,0.013432735576600175,0.0
"Français, littérature et civilisation françaises",Travail social,4,0.013432735576600175,3.0
Protection et développement du patrimoine,"Ressources humaines, gestion du personnel, gestion de l'emploi",4,0.013432735576600175,50.0
"Enseignement, formation",Spécialités plurivalentes des services à la collectivité,4,0.013432735576600175,0.0
Développement des capacités mentales et apprentissages de base,"Finances, banque, assurances",4,0.013432735576600175,0.0
"Droit, sciences politiques","Vie familiale, vie sociale et autres formations au développement personnel",4,0.013432735576600175,0.0
"Productions végétales,cultures spécialisées",Sciences de la terre,4,0.013432735576600175,0.0
Chimie,"Sécurité des biens et des personnes, police, surveillance",4,0.013432735576600175,0.0
"Agro-alimentaire, alimentation, cuisine",Economie,4,0.013432735576600175,0.0
Bâtiment: finitions,Protection et développement du patrimoine,4,0.013432735576600175,0.0
Spécialités pluritechnologiques des transformations,Technologies de commandes des transformations industrielles,4,0.013432735576600175,0.0
"Mathématiques, statistiques",Santé,4,0.013432735576600175,0.0
Développement des capacités individuelles d'organisation,"Sciences sociales (y compris démographie, anthropologie)",4,0.013432735576600175,86.0
Bâtiment: finitions,Développement des capacités comportementales et relationnelles,4,0.013432735576600175,364.0
Bâtiment: construction et couverture,Economie,4,0.013432735576600175,0.0
"Aménagement du territoire, développement, urbanisme",Géographie,4,0.013432735576600175,0.0
Autres...,Géographie,4,0.013432735576600175,0.0
"Musique, arts du spectacle",Travail social,4,0.013432735576600175,126.0
Spécialités pluritechnologiques des transformations,"Spécialités pluritechnologiques, matériaux souples",4,0.013432735576600175,0.0
Journalisme et communication,"Spécialités pluritechnologiques, génie civil, construction, bois",4,0.013432735576600175,211.0
Développement des capacités individuelles d'organisation,"Finances, banque, assurances",4,0.013432735576600175,0.0
"Aménagement du territoire, développement, urbanisme",Développement des capacités comportementales et relationnelles,4,0.013432735576600175,21.0
Langues et civilisations anciennes,"Secrétariat, bureautique",4,0.013432735576600175,125.0
"Mécanique générale et de précision, usinage","Plasturgie, matériaux composites",4,0.013432735576600175,0.0
Développement des capacités comportementales et relationnelles,"Plasturgie, matériaux composites",4,0.013432735576600175,188.66666666666666
Spécialités plurivalentes sanitaires et sociales,"Techniques de l'image et du son, métiers connexes du spectacle",4,0.013432735576600175,0.0
"Chimie-biologie, biochimie","Nettoyage, assainissement, protection de l'environnement",4,0.013432735576600175,71.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Développement des capacités mentales et apprentissages de base,4,0.013432735576600175,0.0
"Documentation, bibliothèques, administration des données","Mathématiques, statistiques",4,0.013432735576600175,0.0
Bâtiment: construction et couverture,Chimie,4,0.013432735576600175,817.5
"Droit, sciences politiques",Techniques de l'imprimerie et de l'édition,4,0.013432735576600175,0.0
Géographie,"Sciences sociales (y compris démographie, anthropologie)",4,0.013432735576600175,0.0
Histoire,"Sciences sociales (y compris démographie, anthropologie)",4,0.013432735576600175,0.0
Arts plastiques,"Habillement (y compris mode, couture)",4,0.013432735576600175,0.0
"Philosophie, éthique et théologie","Spécialités pluridisciplinaires, sciences humaines et droit",4,0.013432735576600175,0.0
"Commerce, vente",Histoire,4,0.013432735576600175,0.0
"Langues vivantes, civilisations étrangères et régionales",Travail du bois et de l'ameublement,4,0.013432735576600175,200.0
"Droit, sciences politiques",Sciences de la terre,4,0.013432735576600175,0.0
Autres...,"Plasturgie, matériaux composites",4,0.013432735576600175,42.0
Formations générales,Histoire,4,0.013432735576600175,0.0
Jeux et activités spécifiques de loisirs,"Vie familiale, vie sociale et autres formations au développement personnel",4,0.013432735576600175,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Développement des capacités individuelles d'organisation,4,0.013432735576600175,85.0
"Forêts, espaces naturels, faune sauvage, pêche",Sciences de la vie,4,0.013432735576600175,0.0
"Français, littérature et civilisation françaises",Psychologie,4,0.013432735576600175,0.0
Chimie,Sciences de la vie,4,0.013432735576600175,0.0
Sciences de la vie,"Secrétariat, bureautique",4,0.013432735576600175,0.0
Autres...,Sciences de la vie,4,0.013432735576600175,0.0
Sciences de la terre,Spécialités pluriscientifiques,4,0.013432735576600175,0.0
Développement des capacités individuelles d'organisation,Spécialités plurivalentes des services,4,0.013432735576600175,0.0
"Agro-alimentaire, alimentation, cuisine",Sciences de la vie,4,0.013432735576600175,0.0
Linguistique,"Vie familiale, vie sociale et autres formations au développement personnel",4,0.013432735576600175,33.0
"Nettoyage, assainissement, protection de l'environnement","Sciences sociales (y compris démographie, anthropologie)",4,0.013432735576600175,0.0
"Enseignement, formation",Physique-chimie,4,0.013432735576600175,0.0
"Ressources humaines, gestion du personnel, gestion de l'emploi",Textile,4,0.013432735576600175,1823.0
"Enseignement, formation","Habillement (y compris mode, couture)",4,0.013432735576600175,160.0
"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)","Ressources humaines, gestion du personnel, gestion de l'emploi",4,0.013432735576600175,96.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Bâtiment: finitions,4,0.013432735576600175,0.0
"Techniques de l'image et du son, métiers connexes du spectacle",Technologies industrielles fondamentales,4,0.013432735576600175,0.0
"Accueil, hôtellerie, tourisme",Pratiques sportives,4,0.013432735576600175,0.0
"Habillement (y compris mode, couture)",Journalisme et communication,4,0.013432735576600175,0.0
Pratiques sportives,Psychologie,4,0.013432735576600175,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles","Sciences sociales (y compris démographie, anthropologie)",4,0.013432735576600175,9.0
"Energie, génie climatique",Physique,4,0.013432735576600175,0.0
"Comptabilité, gestion",Moteurs et mécanique auto,4,0.013432735576600175,0.0
"Enseignement, formation",Techniques de l'imprimerie et de l'édition,4,0.013432735576600175,0.0
Chimie,Sciences de la terre,4,0.013432735576600175,0.0
Chimie,Sciences naturelles (Biologie-Géologie),4,0.013432735576600175,63.0
"Aménagement paysager (parcs, jardins, espaces verts)","Mines et carrières, génie civil, topographie",4,0.013432735576600175,1294.0
"Informatique, traitement de l'information, réseaux de transmission des données",Sciences de la vie,4,0.013432735576600175,0.0
Economie,"Productions végétales,cultures spécialisées",4,0.013432735576600175,0.0
"Enseignement, formation","Mines et carrières, génie civil, topographie",4,0.013432735576600175,0.0
Physique-chimie,Sciences naturelles (Biologie-Géologie),4,0.013432735576600175,0.0
"Musique, arts du spectacle","Secrétariat, bureautique",4,0.013432735576600175,74.5
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Spécialités pluriscientifiques,4,0.013432735576600175,0.0
"Finances, banque, assurances",Spécialités pluriscientifiques,4,0.013432735576600175,495.0
"Spécialités pluritechnologiques, génie civil, construction, bois",Techniques de l'imprimerie et de l'édition,4,0.013432735576600175,183.5
"Documentation, bibliothèques, administration des données","Droit, sciences politiques",4,0.013432735576600175,0.0
"Productions animales, élevage spécialisé, aquaculture, ...",Sciences de la vie,4,0.013432735576600175,0.0
"Informatique, traitement de l'information, réseaux de transmission des données",Pratiques sportives,4,0.013432735576600175,0.0
"Droit, sciences politiques",Technologies industrielles fondamentales,4,0.013432735576600175,0.0
Pratiques sportives,Spécialités plurivalentes des échanges et de la gestion,4,0.013432735576600175,27.0
"Productions végétales,cultures spécialisées",Travail du bois et de l'ameublement,4,0.013432735576600175,0.0
"Forêts, espaces naturels, faune sauvage, pêche",Sciences naturelles (Biologie-Géologie),4,0.013432735576600175,43.0
Formations générales,"Plasturgie, matériaux composites",4,0.013432735576600175,0.0
Journalisme et communication,Spécialités plurivalentes de l'agronomie et de l'agriculture,4,0.013432735576600175,0.0
"Secrétariat, bureautique",Technologies de commandes des transformations industrielles,4,0.013432735576600175,20.0
Développement des capacités individuelles d'organisation,"Spécialités pluridisciplinaires, sciences humaines et droit",4,0.013432735576600175,0.0
Spécialités pluriscientifiques,"Sécurité des biens et des personnes, police, surveillance",4,0.013432735576600175,0.0
"Aménagement paysager (parcs, jardins, espaces verts)","Secrétariat, bureautique",4,0.013432735576600175,0.0
"Comptabilité, gestion",Spécialités pluriscientifiques,4,0.013432735576600175,0.0
Formations générales,Sciences de la terre,4,0.013432735576600175,0.0
"Aménagement du territoire, développement, urbanisme",Formations générales,4,0.013432735576600175,0.0
Développement des capacités individuelles d'organisation,"Français, littérature et civilisation françaises",4,0.013432735576600175,0.0
"Agro-alimentaire, alimentation, cuisine","Sciences sociales (y compris démographie, anthropologie)",4,0.013432735576600175,0.0
"Mathématiques, statistiques","Spécialités pluridisciplinaires, sciences humaines et droit",4,0.013432735576600175,0.0
"Informatique, traitement de l'information, réseaux de transmission des données","Sciences sociales (y compris démographie, anthropologie)",4,0.013432735576600175,0.0
Développement des capacités comportementales et relationnelles,Physique-chimie,4,0.013432735576600175,0.0
Spécialités pluritechnologiques des transformations,Spécialités plurivalentes des services,4,0.013432735576600175,240.0
"Chimie-biologie, biochimie",Spécialités plurivalentes de l'agronomie et de l'agriculture,4,0.013432735576600175,0.0
"Français, littérature et civilisation françaises","Vie familiale, vie sociale et autres formations au développement personnel",4,0.013432735576600175,207.0
Chimie,"Transport, manutention, magasinage",4,0.013432735576600175,1088.0
"Documentation, bibliothèques, administration des données",Formations générales,4,0.013432735576600175,1062.0
Spécialités pluritechnologiques des transformations,"Transport, manutention, magasinage",4,0.013432735576600175,0.0
Economie,"Sécurité des biens et des personnes, police, surveillance",4,0.013432735576600175,19.0
Chimie,"Langues vivantes, civilisations étrangères et régionales",4,0.013432735576600175,0.0
Spécialités plurivalentes de l'agronomie et de l'agriculture,Spécialités plurivalentes de la communication,4,0.013432735576600175,70.5
"Finances, banque, assurances",Spécialités plurivalentes sanitaires et sociales,4,0.013432735576600175,59.5
"Mines et carrières, génie civil, topographie",Santé,4,0.013432735576600175,708.0
"Mines et carrières, génie civil, topographie","Spécialités plutitechnologiques, mécanique-électricité",4,0.013432735576600175,99.0
Psychologie,"Secrétariat, bureautique",4,0.013432735576600175,0.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Spécialités plurivalentes des services à la collectivité,4,0.013432735576600175,1146.0
"Commerce, vente",Physique-chimie,4,0.013432735576600175,85.0
"Plasturgie, matériaux composites",Technologies industrielles fondamentales,4,0.013432735576600175,0.0
"Mécanique générale et de précision, usinage","Sécurité des biens et des personnes, police, surveillance",4,0.013432735576600175,0.0
Bâtiment: construction et couverture,Spécialités plurivalentes de l'agronomie et de l'agriculture,4,0.013432735576600175,0.0
"Productions animales, élevage spécialisé, aquaculture, ...",Spécialités plurivalentes des services,4,0.013432735576600175,99.0
"Ressources humaines, gestion du personnel, gestion de l'emploi",Techniques de l'imprimerie et de l'édition,4,0.013432735576600175,0.0
"Finances, banque, assurances",Travail social,4,0.013432735576600175,0.0
"Productions végétales,cultures spécialisées","Sécurité des biens et des personnes, police, surveillance",4,0.013432735576600175,466.0
"Ressources humaines, gestion du personnel, gestion de l'emploi",Transformations chimiques et apparentées (y compris pharmaceutiques),4,0.013432735576600175,0.0
"Animation culturelle, sportive et de loisirs",Linguistique,4,0.013432735576600175,0.0
Bâtiment: construction et couverture,"Mécanique générale et de précision, usinage",4,0.013432735576600175,156.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Spécialités plurivalentes des services,4,0.013432735576600175,0.0
Linguistique,"Mécanique générale et de précision, usinage",4,0.013432735576600175,119.0
"Productions animales, élevage spécialisé, aquaculture, ...",Spécialités plurivalentes des échanges et de la gestion,4,0.013432735576600175,0.0
Bâtiment: construction et couverture,"Français, littérature et civilisation françaises",4,0.013432735576600175,55.0
"Finances, banque, assurances","Sécurité des biens et des personnes, police, surveillance",4,0.013432735576600175,141.0
Spécialités pluriscientifiques,Spécialités plurivalentes des services,4,0.013432735576600175,0.0
"Mécanique générale et de précision, usinage","Productions animales, élevage spécialisé, aquaculture, ...",4,0.013432735576600175,534.0
Bâtiment: finitions,Linguistique,4,0.013432735576600175,142.0
Linguistique,Spécialités pluriscientifiques,4,0.013432735576600175,66.0
Bâtiment: finitions,"Langues vivantes, civilisations étrangères et régionales",4,0.013432735576600175,35.0
"Productions animales, élevage spécialisé, aquaculture, ...","Spécialités pluritechnologiques, génie civil, construction, bois",4,0.013432735576600175,0.0
Bâtiment: construction et couverture,"Spécialités pluridisciplinaires, sciences humaines et droit",4,0.013432735576600175,93.0
"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles",Spécialités plurivalentes de l'agronomie et de l'agriculture,4,0.013432735576600175,0.0
"Informatique, traitement de l'information, réseaux de transmission des données","Productions animales, élevage spécialisé, aquaculture, ...",4,0.013432735576600175,0.0
Spécialités plurivalentes de l'agronomie et de l'agriculture,Technologies de commandes des transformations industrielles,4,0.013432735576600175,133.0
"Aménagement paysager (parcs, jardins, espaces verts)","Energie, génie climatique",4,0.013432735576600175,0.0
"Productions végétales,cultures spécialisées",Santé,4,0.013432735576600175,72.0
Spécialités pluriscientifiques,"Transport, manutention, magasinage",4,0.013432735576600175,30.0
Bâtiment: finitions,Moteurs et mécanique auto,4,0.013432735576600175,180.0
"Electricité, électronique (non compris automatisme et productique)",Travail du bois et de l'ameublement,4,0.013432735576600175,59.0
Linguistique,"Mines et carrières, génie civil, topographie",4,0.013432735576600175,0.0
"Langues vivantes, civilisations étrangères et régionales",Spécialités pluritechnologiques des transformations,4,0.013432735576600175,0.0
"Droit, sciences politiques",Technologies de commandes des transformations industrielles,4,0.013432735576600175,0.0
"Droit, sciences politiques",Spécialités littéraires et artistiques plurivalentes,4,0.013432735576600175,0.0
"Energie, génie climatique","Secrétariat, bureautique",4,0.013432735576600175,0.0
Linguistique,"Productions animales, élevage spécialisé, aquaculture, ...",4,0.013432735576600175,0.0
"Techniques de l'image et du son, métiers connexes du spectacle","Transport, manutention, magasinage",4,0.013432735576600175,0.0
Spécialités plurivalentes des échanges et de la gestion,Textile,4,0.013432735576600175,0.0
Spécialités plurivalentes de l'agronomie et de l'agriculture,Travail du bois et de l'ameublement,4,0.013432735576600175,0.0
"Aménagement paysager (parcs, jardins, espaces verts)",Développement des capacités mentales et apprentissages de base,4,0.013432735576600175,0.0
"Accueil, hôtellerie, tourisme","Productions animales, élevage spécialisé, aquaculture, ...",4,0.013432735576600175,0.0
"Energie, génie climatique","Spécialités pluridisciplinaires, sciences humaines et droit",4,0.013432735576600175,0.0
"Electricité, électronique (non compris automatisme et productique)","Spécialités pluridisciplinaires, sciences humaines et droit",4,0.013432735576600175,0.0
Economie,"Electricité, électronique (non compris automatisme et productique)",4,0.013432735576600175,0.0
Spécialités plurivalentes des services,Structures métalliques,4,0.013432735576600175,0.0
Physique-chimie,Technologies industrielles fondamentales,4,0.013432735576600175,0.0
"Agro-alimentaire, alimentation, cuisine",Langues et civilisations anciennes,4,0.013432735576600175,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Métallurgie (y compris sidérurgie, fonderie, non ferreux...)",4,0.013432735576600175,0.0
Moteurs et mécanique auto,"Productions végétales,cultures spécialisées",4,0.013432735576600175,0.0
Linguistique,Moteurs et mécanique auto,4,0.013432735576600175,0.0
"Chimie-biologie, biochimie",Technologies industrielles fondamentales,4,0.013432735576600175,0.0
"Langues vivantes, civilisations étrangères et régionales","Productions animales, élevage spécialisé, aquaculture, ...",4,0.013432735576600175,0.0
"Forêts, espaces naturels, faune sauvage, pêche",Santé,4,0.013432735576600175,0.0
Développement des capacités individuelles d'organisation,"Electricité, électronique (non compris automatisme et productique)",3,0.01007455168245013,256.0
Economie et activités domestiques,"Informatique, traitement de l'information, réseaux de transmission des données",3,0.01007455168245013,0.0
"Aménagement du territoire, développement, urbanisme","Secrétariat, bureautique",3,0.01007455168245013,236.0
"Nettoyage, assainissement, protection de l'environnement",Spécialités plurivalentes des services à la collectivité,3,0.01007455168245013,0.0
"Aménagement du territoire, développement, urbanisme",Spécialités plurivalentes de l'agronomie et de l'agriculture,3,0.01007455168245013,0.0
"Accueil, hôtellerie, tourisme",Développement des capacités mentales et apprentissages de base,3,0.01007455168245013,0.0
"Electricité, électronique (non compris automatisme et productique)","Français, littérature et civilisation françaises",3,0.01007455168245013,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Energie, génie climatique",3,0.01007455168245013,0.0
Autres...,"Philosophie, éthique et théologie",3,0.01007455168245013,0.0
"Chimie-biologie, biochimie","Productions végétales,cultures spécialisées",3,0.01007455168245013,0.0
"Droit, sciences politiques","Productions animales, élevage spécialisé, aquaculture, ...",3,0.01007455168245013,182.0
"Productions animales, élevage spécialisé, aquaculture, ...",Psychologie,3,0.01007455168245013,0.0
"Musique, arts du spectacle","Vie familiale, vie sociale et autres formations au développement personnel",3,0.01007455168245013,0.0
"Philosophie, éthique et théologie","Vie familiale, vie sociale et autres formations au développement personnel",3,0.01007455168245013,0.0
"Sciences sociales (y compris démographie, anthropologie)",Spécialités plurivalentes des échanges et de la gestion,3,0.01007455168245013,0.0
Economie et activités domestiques,"Finances, banque, assurances",3,0.01007455168245013,0.0
Arts plastiques,Bâtiment: construction et couverture,3,0.01007455168245013,0.0
Géographie,"Mathématiques, statistiques",3,0.01007455168245013,0.0
Bâtiment: construction et couverture,"Mathématiques, statistiques",3,0.01007455168245013,0.0
"Commerce, vente",Sciences de la terre,3,0.01007455168245013,0.0
Développement des capacités individuelles d'organisation,Sciences de la terre,3,0.01007455168245013,0.0
Développement des capacités comportementales et relationnelles,Techniques de l'imprimerie et de l'édition,3,0.01007455168245013,41.0
Journalisme et communication,Textile,3,0.01007455168245013,0.0
"Philosophie, éthique et théologie",Sciences de la vie,3,0.01007455168245013,0.0
"Aménagement paysager (parcs, jardins, espaces verts)",Sciences de la terre,3,0.01007455168245013,0.0
Développement des capacités individuelles d'organisation,Textile,3,0.01007455168245013,0.0
Santé,Spécialités militaires,3,0.01007455168245013,0.0
Jeux et activités spécifiques de loisirs,Santé,3,0.01007455168245013,0.0
"Musique, arts du spectacle","Sciences sociales (y compris démographie, anthropologie)",3,0.01007455168245013,23.0
Economie,"Nettoyage, assainissement, protection de l'environnement",3,0.01007455168245013,69.0
"Droit, sciences politiques",Spécialités plurivalentes des services à la collectivité,3,0.01007455168245013,0.0
Développement des capacités mentales et apprentissages de base,Spécialités pluriscientifiques,3,0.01007455168245013,136.0
Jeux et activités spécifiques de loisirs,Spécialités concernant plusieurs capacités,3,0.01007455168245013,0.0
Protection et développement du patrimoine,"Sécurité des biens et des personnes, police, surveillance",3,0.01007455168245013,197.0
"Animation culturelle, sportive et de loisirs","Sciences sociales (y compris démographie, anthropologie)",3,0.01007455168245013,38.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Secrétariat, bureautique",3,0.01007455168245013,297.0
Santé,Transformations chimiques et apparentées (y compris pharmaceutiques),3,0.01007455168245013,58.0
"Sciences sociales (y compris démographie, anthropologie)","Vie familiale, vie sociale et autres formations au développement personnel",3,0.01007455168245013,0.0
"Spécialités pluritechnologiques, génie civil, construction, bois",Spécialités plurivalentes des services à la collectivité,3,0.01007455168245013,198.0
"Animation culturelle, sportive et de loisirs","Spécialités pluridisciplinaires, sciences humaines et droit",3,0.01007455168245013,0.0
"Finances, banque, assurances","Habillement (y compris mode, couture)",3,0.01007455168245013,0.0
"Habillement (y compris mode, couture)",Spécialités plurivalentes des services,3,0.01007455168245013,0.0
Chimie,"Enseignement, formation",3,0.01007455168245013,0.0
"Energie, génie climatique",Physique-chimie,3,0.01007455168245013,0.0
Développement des capacités comportementales et relationnelles,Spécialités militaires,3,0.01007455168245013,0.0
"Energie, génie climatique","Forêts, espaces naturels, faune sauvage, pêche",3,0.01007455168245013,133.0
"Finances, banque, assurances",Psychologie,3,0.01007455168245013,0.0
"Mathématiques, statistiques","Spécialités plutitechnologiques, mécanique-électricité",3,0.01007455168245013,262.0
"Aménagement du territoire, développement, urbanisme",Développement des capacités individuelles d'organisation,3,0.01007455168245013,0.0
Psychologie,Spécialités littéraires et artistiques plurivalentes,3,0.01007455168245013,0.0
Psychologie,Spécialités plurivalentes des services,3,0.01007455168245013,0.0
"Français, littérature et civilisation françaises",Sciences naturelles (Biologie-Géologie),3,0.01007455168245013,0.0
Autres...,Sciences de la terre,3,0.01007455168245013,0.0
"Mécanique générale et de précision, usinage",Spécialités plurivalentes des services,3,0.01007455168245013,0.0
Développement des capacités individuelles d'organisation,"Energie, génie climatique",3,0.01007455168245013,0.0
Bâtiment: finitions,"Spécialités plutitechnologiques, mécanique-électricité",3,0.01007455168245013,0.0
Bâtiment: construction et couverture,"Techniques de l'image et du son, métiers connexes du spectacle",3,0.01007455168245013,151.0
"Matériaux de construction, verre, céramique",Spécialités pluritechnologiques des transformations,3,0.01007455168245013,0.0
Formations générales,"Papier, carton",3,0.01007455168245013,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Histoire,3,0.01007455168245013,0.0
Développement des capacités individuelles d'organisation,"Musique, arts du spectacle",3,0.01007455168245013,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Travail social,3,0.01007455168245013,0.0
Bâtiment: finitions,Développement des capacités mentales et apprentissages de base,3,0.01007455168245013,0.0
Bâtiment: construction et couverture,"Finances, banque, assurances",3,0.01007455168245013,55.5
Autres disciplines artistiques et spécialités artistiques plurivalentes,"Electricité, électronique (non compris automatisme et productique)",3,0.01007455168245013,140.0
"Sciences sociales (y compris démographie, anthropologie)",Spécialités plurivalentes des services,3,0.01007455168245013,0.0
Pratiques sportives,Spécialités militaires,3,0.01007455168245013,0.0
Autres...,Economie et activités domestiques,3,0.01007455168245013,0.0
"Ressources humaines, gestion du personnel, gestion de l'emploi",Travail du bois et de l'ameublement,3,0.01007455168245013,22.0
Jeux et activités spécifiques de loisirs,Linguistique,3,0.01007455168245013,0.0
"Nettoyage, assainissement, protection de l'environnement",Sciences de la vie,3,0.01007455168245013,0.0
Pratiques sportives,"Vie familiale, vie sociale et autres formations au développement personnel",3,0.01007455168245013,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Habillement (y compris mode, couture)",3,0.01007455168245013,65.0
"Spécialités pluridisciplinaires, sciences humaines et droit","Vie familiale, vie sociale et autres formations au développement personnel",3,0.01007455168245013,0.0
"Animation culturelle, sportive et de loisirs","Coiffure, esthétique et autres spécialités des services aux personnes",3,0.01007455168245013,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Pratiques sportives,3,0.01007455168245013,0.0
"Nettoyage, assainissement, protection de l'environnement",Spécialités plurivalentes des services,3,0.01007455168245013,0.0
Développement des capacités mentales et apprentissages de base,"Spécialités pluridisciplinaires, sciences humaines et droit",3,0.01007455168245013,0.0
"Mathématiques, statistiques",Spécialités plurivalentes de la communication,3,0.01007455168245013,0.0
"Langues vivantes, civilisations étrangères et régionales","Philosophie, éthique et théologie",3,0.01007455168245013,0.0
Physique,Santé,3,0.01007455168245013,0.0
"Enseignement, formation",Sciences naturelles (Biologie-Géologie),3,0.01007455168245013,0.0
Arts plastiques,Santé,3,0.01007455168245013,0.0
"Aménagement du territoire, développement, urbanisme",Sciences de la vie,3,0.01007455168245013,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Techniques de l'image et du son, métiers connexes du spectacle",3,0.01007455168245013,41.0
Autres...,Langues et civilisations anciennes,3,0.01007455168245013,0.0
Arts plastiques,Histoire,3,0.01007455168245013,0.0
"Chimie-biologie, biochimie",Linguistique,3,0.01007455168245013,0.0
Autres disciplines artistiques et spécialités artistiques plurivalentes,Chimie,3,0.01007455168245013,0.0
Autres...,Chimie,3,0.01007455168245013,0.0
Arts plastiques,Développement des capacités comportementales et relationnelles,3,0.01007455168245013,0.0
Application des droits et statuts des personnes,Spécialités plurivalentes sanitaires et sociales,3,0.01007455168245013,289.0
"Musique, arts du spectacle",Techniques de l'imprimerie et de l'édition,3,0.01007455168245013,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes","Comptabilité, gestion",3,0.01007455168245013,0.0
Spécialités plurivalentes des services,Techniques de l'imprimerie et de l'édition,3,0.01007455168245013,0.0
"Coiffure, esthétique et autres spécialités des services aux personnes",Spécialités concernant plusieurs capacités,3,0.01007455168245013,264.5
"Spécialités pluritechnologiques, matériaux souples",Spécialités plurivalentes de la communication,3,0.01007455168245013,0.0
Application des droits et statuts des personnes,Psychologie,3,0.01007455168245013,61.0
"Animation culturelle, sportive et de loisirs","Droit, sciences politiques",3,0.01007455168245013,0.0
Histoire,Journalisme et communication,3,0.01007455168245013,0.0
"Enseignement, formation",Spécialités pluritechnologiques des transformations,3,0.01007455168245013,0.0
"Musique, arts du spectacle",Physique,3,0.01007455168245013,0.0
Physique,"Techniques de l'image et du son, métiers connexes du spectacle",3,0.01007455168245013,0.0
"Accueil, hôtellerie, tourisme","Aménagement du territoire, développement, urbanisme",3,0.01007455168245013,0.0
Développement des capacités individuelles d'organisation,Technologies industrielles fondamentales,3,0.01007455168245013,0.0
"Nettoyage, assainissement, protection de l'environnement",Protection et développement du patrimoine,3,0.01007455168245013,0.0
Arts plastiques,Linguistique,3,0.01007455168245013,0.0
Développement des capacités individuelles d'organisation,Jeux et activités spécifiques de loisirs,3,0.01007455168245013,0.0
Bâtiment: finitions,"Plasturgie, matériaux composites",3,0.01007455168245013,0.0
